Country,ISO2,Land_Area_KM2,EEZ_Area_KM2,Total_KM2,Sea_Land_Ratio,Land_Year
French Polynesia,PF,3471,4792821.532757853,4796292.532757853,1381,2025
Kiribati,KI,810,3456282.0417710915,3457092.0417710915,4267,2025
Micronesia (Federated States of),FM,700,3026487.017179225,3027187.017179225,4324,2025
Papua New Guinea,PG,452860,2874684.621944593,3327544.621944593,6,2025
Marshall Islands,MH,180,2012375.7667439762,2012555.7667439762,11180,2025
Cook Islands,CK,240,1976726.813180871,1976966.813180871,8236,2025
Solomon Islands,SB,27990,1640434.9066771634,1668424.9066771634,59,2025
Fiji,FJ,18270,1307154.7987895468,1325424.7987895468,72,2025
New Caledonia,NC,18280,1201572.9494414495,1219852.9494414495,66,2025
Pitcairn,PN,47,844160.1196993645,844207.1196993645,17961,2025
Northern Mariana Islands,MP,460,766523.1864317433,766983.1864317433,1666,2025
Tuvalu,TV,30,756356.7193114647,756386.7193114647,25212,2025
Tonga,TO,720,668721.3146317805,669441.3146317805,929,2025
Vanuatu,VU,12190,637910.4582518582,650100.4582518582,52,2025
Palau,PW,460,618016.5830779443,618476.5830779443,1344,2025
American Samoa,AS,200,407543.8985981119,407743.8985981119,2038,2025
Tokelau,TK,10,322098.0382732196,322108.0382732196,32210,2025
Niue,NU,260,319357.4297742817,319617.4297742817,1228,2025
Nauru,NR,20,310667.89111819,310687.89111819,15533,2025
Wallis and Futuna,WF,140,263931.57218295266,264071.57218295266,1885,2025
Guam,GU,540,209580.39080160463,210120.39080160463,388,2025
Samoa,WS,2780,133837.26091858913,136617.26091858913,48,2025
