STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,DATA_YEAR,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,AS,American Samoa,LAR,Land area,2025,,200,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,CK,Cook Islands,LAR,Land area,2025,,240,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,FJ,Fiji,LAR,Land area,2025,,18270,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,FM,Micronesia (Federated States of),LAR,Land area,2025,,700,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,GU,Guam,LAR,Land area,2025,,540,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,KI,Kiribati,LAR,Land area,2025,,810,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,MH,Marshall Islands,LAR,Land area,2025,,180,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,MP,Northern Mariana Islands,LAR,Land area,2025,,460,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,NC,New Caledonia,LAR,Land area,2025,,18280,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,NR,Nauru,LAR,Land area,2025,,20,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,NU,Niue,LAR,Land area,2025,,260,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
DATAFLOW,SPC:DF_POCKET(3.0),Pocket summary (latest available value per year),I,A,Annual,PF,French Polynesia,LAR,Land area,2025,,3471,,KM2,square kilometre,,,E,Estimated value,Population densities (PDH.Stat),,2025,,Value forward/backward filled.,
