Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,MEAN
1950,-1.3,-1.2,-1.1,-1.1,-1.1,-0.9,-0.6,-0.6,-0.6,-0.6,-0.7,-0.8,-0.883333333
1951,-0.7,-0.4,0,0.2,0.3,0.5,0.7,0.9,1,1,1,0.7,0.433333333
1952,0.5,0.3,0.3,0.2,-0.1,-0.4,-0.4,-0.2,0,0,-0.1,0.1,0.016666667
1953,0.3,0.5,0.5,0.6,0.8,0.7,0.6,0.7,0.6,0.8,0.5,0.6,0.6
1954,0.4,0.4,0,-0.3,-0.5,-0.5,-0.7,-0.8,-0.7,-0.5,-0.4,-0.4,-0.333333333
1955,-0.5,-0.5,-0.6,-0.8,-0.8,-0.9,-0.7,-0.9,-1.1,-1.4,-1.6,-1.5,-0.941666667
1956,-1.2,-0.8,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.558333333
1957,-0.3,-0.1,0.3,0.6,0.7,0.8,1,1,1.1,1.2,1.4,1.6,0.775
1958,1.7,1.6,1.2,0.8,0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.6,0.725
1959,0.6,0.6,0.5,0.4,0.2,0,-0.2,-0.2,0,0.1,0.2,0.1,0.191666667
1960,0,0,0.1,0.2,0,0,0,0.2,0.2,0.1,-0.1,-0.1,0.05
1961,0,0,0,0.1,0.2,0.2,0.1,-0.2,-0.3,-0.2,-0.1,0,-0.016666667
1962,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,0,-0.1,-0.2,-0.2,-0.2,-0.3,-0.166666667
1963,-0.3,-0.2,0,0.1,0.1,0.5,0.8,1.1,1.1,1.1,1.2,1.1,0.55
1964,0.9,0.5,0.1,-0.3,-0.6,-0.7,-0.7,-0.7,-0.7,-0.8,-0.8,-0.7,-0.375
1965,-0.5,-0.2,0,0.2,0.5,0.8,1.1,1.3,1.6,1.7,1.8,1.6,0.825
1966,1.2,1,0.8,0.4,0.2,0.2,0.3,0.1,-0.1,-0.1,-0.2,-0.3,0.291666667
1967,-0.5,-0.5,-0.5,-0.4,-0.1,0.1,0,-0.3,-0.4,-0.4,-0.4,-0.4,-0.316666667
1968,-0.6,-0.7,-0.6,-0.5,-0.1,0.2,0.4,0.4,0.3,0.5,0.7,0.9,0.075
1969,1,1,0.8,0.7,0.6,0.5,0.4,0.4,0.6,0.7,0.8,0.7,0.683333333
1970,0.5,0.2,0.2,0.3,0.1,-0.3,-0.5,-0.7,-0.7,-0.7,-0.8,-1.1,-0.291666667
1971,-1.3,-1.4,-1.1,-0.8,-0.7,-0.7,-0.7,-0.6,-0.7,-0.8,-0.9,-0.8,-0.875
1972,-0.6,-0.3,0,0.3,0.5,0.7,1,1.3,1.5,1.7,1.8,1.8,0.808333333
1973,1.6,1.1,0.6,0,-0.5,-0.8,-1,-1.1,-1.3,-1.6,-1.9,-2,-0.575
1974,-1.9,-1.6,-1.2,-1,-0.7,-0.6,-0.5,-0.4,-0.5,-0.7,-0.9,-0.7,-0.891666667
1975,-0.6,-0.5,-0.6,-0.7,-0.8,-0.9,-1.1,-1.1,-1.3,-1.3,-1.5,-1.6,-1
1976,-1.5,-1.1,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,0.8,0.8,-0.016666667
1977,0.7,0.7,0.3,0.3,0.3,0.5,0.4,0.4,0.5,0.7,0.8,0.8,0.533333333
1978,0.7,0.5,0.2,-0.1,-0.3,-0.2,-0.4,-0.4,-0.4,-0.3,-0.1,0.1,-0.058333333
1979,0.2,0.2,0.3,0.3,0.3,0.1,0.1,0.2,0.3,0.5,0.5,0.6,0.3
1980,0.6,0.5,0.4,0.3,0.5,0.4,0.2,-0.1,-0.2,-0.1,0.1,0,0.216666667
1981,-0.3,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,-0.1,-0.258333333
1982,0,0,0.1,0.3,0.7,0.7,0.8,1,1.5,1.8,2,2.1,0.916666667
1983,2.1,1.9,1.5,1.2,1,0.6,0.3,-0.1,-0.4,-0.8,-1,-0.9,0.45
1984,-0.6,-0.5,-0.4,-0.5,-0.5,-0.5,-0.4,-0.2,-0.3,-0.6,-0.9,-1.1,-0.541666667
1985,-1,-0.9,-0.8,-0.8,-0.8,-0.6,-0.4,-0.3,-0.3,-0.3,-0.3,-0.4,-0.575
1986,-0.4,-0.4,-0.2,-0.2,-0.1,0,0.2,0.5,0.6,0.9,1.1,1.2,0.266666667
1987,1.2,1.1,1,0.9,1,1.1,1.3,1.5,1.5,1.4,1.2,1,1.183333333
1988,0.6,0.4,0,-0.4,-1,-1.3,-1.3,-1.1,-1.3,-1.5,-1.8,-1.8,-0.875
1989,-1.6,-1.4,-1.1,-0.8,-0.6,-0.4,-0.4,-0.4,-0.3,-0.2,-0.1,0,-0.608333333
1990,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.283333333
1991,0.4,0.3,0.2,0.3,0.5,0.6,0.8,0.7,0.7,0.8,1.2,1.4,0.658333333
1992,1.5,1.5,1.4,1.3,1.1,0.7,0.4,0.1,-0.1,-0.2,-0.2,0,0.625
1993,0.1,0.3,0.5,0.7,0.8,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.358333333
1994,0.1,0,0,0.2,0.3,0.2,0.3,0.3,0.5,0.7,0.9,1,0.375
1995,0.9,0.7,0.5,0.2,0,-0.1,-0.3,-0.5,-0.8,-1,-1,-1,-0.2
1996,-0.9,-0.7,-0.5,-0.4,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4
1997,-0.4,-0.3,0,0.3,0.7,1.1,1.5,1.8,2,2.2,2.3,2.4,1.133333333
1998,2.2,1.9,1.4,1,0.4,-0.1,-0.6,-0.8,-1,-1.1,-1.3,-1.5,0.041666667
1999,-1.5,-1.2,-0.9,-0.8,-0.8,-0.8,-0.9,-0.9,-1,-1.1,-1.3,-1.5,-1.058333333
2000,-1.5,-1.3,-1,-0.8,-0.7,-0.6,-0.5,-0.4,-0.4,-0.5,-0.8,-0.8,-0.775
