zone,llga,location,province,district,rating,pop_2015_est,pop_2011_census
Very high altitude,Kandep Rural,Kandep Basin,Enga,Kandep,5,33099,42074
Very high altitude,Wage Rural,"Panguaga, Wage, Bioko, Iumbis, Karekare",Enga,Kandep,5,38001,30775
Very high altitude,Lagaip Rural,Lagaip,Enga,Lagaip-Porgera,5,61793,47602
Very high altitude,Porgera Rural,Pilikambi,Enga,Lagaip-Porgera,5,34214,55419
Very high altitude,Ialibu Basin Rural,Ialibu,Southern Highlands,Ialibu-Pangia,5,23165,18427
Very high altitude,Imbonggu Rural,Imbonggu,Southern Highlands,Imbonggu,5,38481,20251
Very high altitude,Magarima Rural,"Magarima, Yangari",Hela,Komo-Magarima,5,49833,38042
Very high altitude,Mt Giluwe Rural,Tambul Basin,Western Highlands,Tambul-Nebilyer,5,47426,36524
Very high altitude,Nebilyer Rural,Upper Nebilyer,Western Highlands,Tambul-Nebilyer,5,43809,33031
Very high altitude,Upper Mendi Rural,North of Mendi,Southern Highlands,Mendi,4,40570,34204
Highland and highland fringe,Telefomin Rural,Telefomin,Sandaun,Telefomin,5,13463,9996
Highland and highland fringe,Yapsie Rural,Yapsie,Sandaun,Telefomin,5,9977,6947
Highland and highland fringe,Mitnande Rural,Gembogl,Simbu,Kundiawa-Gembogl,5,22683,25742
Highland and highland fringe,Gumine Rural,Gumine,Simbu,Gumine,5,22529,25461
Highland and highland fringe,Oksapmin Rural,Oksapmin,Sandaun,Telefomin,4,18432,13260
Highland and highland fringe,Hulia Rural,"Dauli, Tigibi",Hela,Tari-Pori,4,22688,42172
Highland and highland fringe,Lake Kopiago Rural,"Strickland, Kopiago",Hela,Koroba-Kopiago,4,21800,35382
Highland and highland fringe,Baiyer Rural,Baiyer River,Western Highlands,Mul-Baiyer,4,30479,34266
Highland and highland fringe,Elimbari Rural,Elimbari area,Simbu,Chuave,4,19242,12896
Highland and highland fringe,Salt Rural,"Salt, South",Simbu,Karimui-Nomane,4,19145,23635
Highland and highland fringe,Nomane Rural,"Nomane, South",Simbu,Karimui-Nomane,4,10061,7872
Highland and highland fringe,Yelia Rural,"Wonenara, Marawaka",Eastern Highlands,Obura-Wonenara,4,23235,22581
Highland and highland fringe,Kaintiba Rural,Inland Gulf,Gulf,Kerema,4,13757,12960
Highland and highland fringe,Kotidanga Rural,Inland Gulf,Gulf,Kerema,4,24978,19867
Inland lowland Western Province,Nomad Rural,"Mougulu, Nomad",Western,Middle Fly,5,15843,4962
Inland lowland Western Province,Morehead Rural,Morehead,Western,South Fly,5,17256,14444
Inland lowland Western Province,Gogodala Rural,Balimo area,Western,Middle Fly,4,36275,32249
