Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,MEAN
1950,-1.2,-1.1,-1,-1,-1,-0.7,-0.4,-0.3,-0.3,-0.4,-0.4,-0.5,-0.691666667
1951,-0.3,0.1,0.5,0.6,0.6,0.7,0.8,1,1,1,0.9,0.7,0.633333333
1952,0.7,0.3,0.5,0.2,0,-0.4,-0.4,-0.1,0.1,0,-0.1,0.1,0.075
1953,0.4,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.8,0.6,0.7,0.7
1954,0.6,0.6,0.3,0,-0.2,-0.2,-0.4,-0.6,-0.5,-0.3,-0.1,-0.2,-0.083333333
1955,-0.1,-0.1,-0.1,-0.4,-0.4,-0.5,-0.4,-0.7,-0.9,-1.3,-1.4,-1.3,-0.633333333
1956,-0.8,-0.4,-0.1,-0.1,0,0,-0.1,-0.2,-0.1,-0.1,-0.1,-0.2,-0.183333333
1957,0,0.2,0.5,0.8,0.9,0.9,1,1.1,1.1,1.2,1.5,1.8,0.916666667
1958,1.9,1.8,1.3,1,0.7,0.6,0.5,0.3,0.2,0.2,0.4,0.6,0.791666667
1959,0.8,0.8,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.1,0,0.2,0.2,0.258333333
1960,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.3,0.1,-0.1,-0.1,0.141666667
1961,0,0.1,0,0.1,0.2,0.3,0.2,-0.1,-0.2,-0.2,-0.1,0,0.025
1962,0,0,0,-0.2,-0.2,-0.1,0,-0.1,-0.1,-0.3,-0.3,-0.4,-0.141666667
1963,-0.3,-0.1,0,0.1,0,0.4,0.7,1.1,1.1,1.1,1.1,1.1,0.525
1964,1,0.6,0.1,-0.4,-0.7,-0.7,-0.6,-0.5,-0.5,-0.6,-0.6,-0.5,-0.283333333
1965,-0.2,0.1,0.2,0.4,0.6,1,1.3,1.5,1.8,1.9,2,1.8,1.033333333
1966,1.5,1.3,1,0.6,0.3,0.2,0.3,0.2,0,0,-0.1,-0.2,0.425
1967,-0.3,-0.2,-0.3,-0.3,-0.1,0.2,0.2,0,-0.1,-0.1,0,0,-0.083333333
1968,-0.2,-0.4,-0.3,-0.3,0.1,0.3,0.6,0.5,0.4,0.6,0.7,1,0.25
