name,wigosid,country code,in OSCAR,longitude,latitude,#received,#expected,default schedule,color code,description,variable,date,center
Bujumbura Aero (Earth network),0-108-0-64404,BDI,True,29.32207,-3.32187,718,744,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,ECMWF
Bujumbura (ADCON),0-108-0-64445,BDI,True,29.32186,-3.32313,0,744,False,black,Not received in period,pressure,2026-07-01 00:00:00+00:00,DWD
Nyabiraba (ADCON),0-108-0-64446,BDI,True,29.44105,-3.45777,0,744,False,black,Not received in period,pressure,2026-07-01 00:00:00+00:00,DWD
MOGILEV,0-112-0-26862,BLR,True,30.36694,53.87139,0,248,False,black,Not received in period,pressure,2026-07-01 00:00:00+00:00,DWD
BARIKA,0-12-0-05BATCN60471,DZA,True,5.33993,35.34787,153,155,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,JMA
BENI OUNIF,0-12-0-08BECCN60577,DZA,True,-1.26527,32.05138,717,155,False,purple,More than 100%,pressure,2026-07-01 00:00:00+00:00,ECMWF
BOUIRA,0-12-0-10BRACN60417,DZA,True,3.89507,36.36997,155,155,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,JMA
ALGER PORT,0-12-0-16ALGCN60369,DZA,True,3.06243,36.77451,248,248,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,DWD
BOUCHEGOUF,0-12-0-24GUECN60405,DZA,True,7.70874,36.45821,154,155,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,JMA
DELLYS,0-12-0-35BOUCN60387,DZA,True,3.95527,36.89671,155,155,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,JMA
GOURAYA,0-12-0-42TIPCN00001,DZA,True,1.91317,36.57575,316,248,False,purple,More than 100%,pressure,2026-07-01 00:00:00+00:00,ECMWF
BOUHAROUN,0-12-0-42TIPCN60377,DZA,True,2.65683,36.62597,155,155,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,JMA
MILA,0-12-0-43MILCN60407,DZA,True,6.32685,36.40082,674,155,False,purple,More than 100%,pressure,2026-07-01 00:00:00+00:00,ECMWF
AIN DEFLA,0-12-0-44DEFCN60429,DZA,True,1.94852,36.26511,155,155,False,green,Normal (>= 80%),pressure,2026-07-01 00:00:00+00:00,ECMWF
KOUSSERI,0-120-1-64850,CMR,True,15.0333,12.0833,25,403,False,red,Availability issues (< 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
MORA,0-120-1-64852,CMR,True,14.1336,11.0336,572,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
MOKOLO,0-120-1-64854,CMR,True,13.8042,10.7424,569,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
GUIDER,0-120-1-64858,CMR,True,13.95,9.93333,591,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
POLI,0-120-1-64863,CMR,True,13.25,8.48333,582,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
TCHOLLIRE,0-120-1-64865,CMR,True,14.18918,8.40161,0,744,False,black,Not received in period,pressure,2026-07-01 00:00:00+00:00,DWD
TIGNERE,0-120-1-64868,CMR,True,12.66745,7.35922,152,744,False,red,Availability issues (< 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
BAMENDA UP STATION,0-120-1-64871,CMR,True,10.1591,5.963,586,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
TIBATI,0-120-1-64881,CMR,True,12.61667,6.46667,592,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
NKAMBE,0-120-1-64886,CMR,True,10.6669,6.6336,0,744,False,black,Not received in period,pressure,2026-07-01 00:00:00+00:00,DWD
FUNDONG,0-120-1-64887,CMR,True,10.1669,6.4002,0,372,False,black,Not received in period,pressure,2026-07-01 00:00:00+00:00,DWD
KUMBO,0-120-1-64888,CMR,True,10.6669,6.2002,5,744,False,red,Availability issues (< 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
DSCHANG,0-120-1-64891,CMR,True,10.06305,5.45305,575,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
BAFOUSSAM-AIRPORT,0-120-1-64894,CMR,True,10.34936,5.54258,593,744,False,orange,Availability issues (>= 30%),pressure,2026-07-01 00:00:00+00:00,ECMWF
